,Unnamed: 0,Name,Gender,Time,Text
0,0,Speaker 1,M,00:00:40,thought learn technology learning technology
1,1,Speaker 2,M,00:00:50,crazy technology computer phone phone computer laptop tablet make thing thought learn today
2,2,Speaker 2,M,00:01:21,
3,3,Speaker 1,M,00:02:04,
4,4,Speaker 3,F,00:02:13,bottom line wanted live place thing time
5,5,Speaker 2,M,00:02:31,disability form 50 percent live people disability people struggle disabled thought worse older stay home living fear people live thing feel
6,6,Speaker 4,M,00:03:10,reason love home love live home hope learn stay long hate residential care home scene
7,7,Speaker 4,M,00:03:36,managed
8,8,Speaker 3,F,00:03:40,drive nut week
9,9,Speaker 3,F,00:04:02,freedom
10,10,Speaker 3,F,00:04:03,freedom
11,11,Speaker 2,M,00:04:04,memory bos
12,12,Speaker 5,F,00:04:09,guy memory piece furniture remembering partner sit chair home clothes understanding
13,13,Speaker 2,M,00:04:29,thought correctly correct remember bill care home happy people running video live light life knew barbican 90 pleasant listen care home lot people building coffee morning commonly missile miss family live north live
14,14,Speaker 3,F,00:08:07,picture
15,15,Speaker 2,M,00:08:16,daily activity
16,16,Speaker 3,F,00:08:37,bed living activity existing fact sensitive moment fighting bed happening sleep chair find
17,17,Speaker 3,F,00:09:05,mobility sort equipment carer coming put bed emotional bit
18,18,Speaker 4,M,00:09:28,thing concern extent thing concern show moment great difficulty add stand easy cross leg wow stand council put handrail hang thing smell
19,19,Speaker 2,M,00:10:19,wheelchair standard big wheel shower room transfer wheelchair shower prefer stand bad shoulder showering 100 feel clean proper boy bath lost leg chair rise fall millbrook great raise turn chair put foot bath
20,20,Speaker 4,M,00:11:08,ordinary bath
21,21,Speaker 2,M,00:11:10,ride call put bath
22,22,Speaker 4,M,00:11:13,bath mate drive
23,23,Speaker 2,M,00:11:29,existed till thought struggling bath bullying slipping falling bath period confidence started bench bath headfirst touch forget
24,24,Speaker 2,M,00:11:59,period time moved moved wet room fly 34 bath ideal walking wheel chair sat comfy cushion great
25,25,Speaker 2,M,00:12:47,
26,26,Speaker 2,M,00:13:01,bother neuropathy feel heat straight moved back year ago wheelchair bedroom rarely wore impression important worked open air fryer small hub great chair worried leaning forward bending oven bend lose balance bother older personally concern lost cooking takeaway
27,27,Speaker 2,M,00:14:00,talking
28,28,Speaker 3,F,00:14:08,moment stair point future
29,29,Speaker 3,F,00:14:17,house dozen stair road house move point
30,30,Speaker 2,M,00:14:27,area
31,31,Speaker 4,M,00:14:40,transport chance bus taxi difficulty door trouble car tall bend back hip problem kind move properly difficult transport issue
32,32,Speaker 1,M,00:15:06,glad mentioned transport top list reason long bus celebrate bus stop child life launceston life woodbridge half hour bus problem bus bus moment manage wee bodmin
33,33,Speaker 1,M,00:15:40,pretty stop pea
34,34,Speaker 5,F,00:15:53,bodmin wee awfull
35,35,Speaker 2,M,00:16:19,mentioned legally
36,36,Speaker 2,M,00:16:30,good contact people family nice zoom social medium messenger facebook good family talking
37,37,Speaker 3,F,00:17:00,lockdown child isolated
38,38,Speaker 2,M,00:17:10,thinking
39,39,Speaker 3,F,00:17:12,unusual pandemic effect mental health job
40,40,Speaker 2,M,00:17:24,struggle thought isolate meant taking early year isolate 14 day struggled quell scooter avoid shop open town show free travel scary scared year understanding jab obsessive test week great community live lucky lucky realise infection virus sit downstairs community allowed sitting main entrance
41,41,Speaker 2,M,00:18:23,courtyard communication bad house isolated communication technology
42,42,Speaker 1,M,00:18:43,people drive car notoriety lockdown stuck year live bedroom shared house people
43,43,Speaker 2,M,00:19:09,community face face reality thing 40 year ago don
44,44,Speaker 3,F,00:20:04,lucky beginning heart bypass daughter kent stay school stuck week excuse brought back time job kent brought back uh huh horrible bother live community centre talk courtroom day
45,45,Speaker 3,F,00:20:59,day lucky live hoe walk minute hoe life long live day walk talk neighbour mix
46,46,Speaker 5,F,00:21:20,community bungalow meet fun people neighbour leave home blame love interaction people zoom team recommend family internet
47,47,Speaker 3,F,00:21:53,internet computer bother bother contact firm
48,48,Speaker 5,F,00:22:11,doctor doctor nightmare hold consult internet prescription contacting doctor huge
49,49,Speaker 5,F,00:22:27,lucky prescription bring chemist west hoe routinely deliver
50,50,Speaker 3,F,00:22:41,hope stopping
51,51,Speaker 5,F,00:22:43,lucky
52,52,Speaker 2,M,00:22:44,good press resident struggle pay prescription text message boot chemist pain prescription ready collection close book booth back 10 minute customer lucky
53,53,Speaker 3,F,00:23:13,set
54,54,Speaker 2,M,00:23:16,lloyd devonport moved told doctor prescription boot start ringing ringing prescription boot supply
55,55,Speaker 3,F,00:23:35,surgery
56,56,Speaker 2,M,00:23:38,back year ago driving agreed
57,57,Speaker 3,F,00:23:55,kind forgotten health care
58,58,Speaker 2,M,00:24:00,forgot doctor
59,59,Speaker 3,F,00:24:03,telephone
60,60,Speaker 5,F,00:24:08,issue
61,61,Speaker 2,M,00:24:09,chest problem bit telephone consultation consultation conversation hearing huh huh phone
62,62,Speaker 2,M,00:24:23,phone prevent breathe
63,63,Speaker 3,F,00:24:36,thinking touch wood fortunate moment partner lot difficulty make good point doctor sort organisation wanted touch television license number ring annoying
64,64,Speaker 6,F,00:25:16,ring william ring day find number grand daughter found computer rang wrong place hero
65,65,Speaker 2,M,00:25:30,annoyed
66,66,Speaker 6,F,00:25:33,
67,67,Speaker 2,M,00:25:35,hard communicate concretely people fed people give communicate thing electricity people put pressure horrible fortunate scam call text message provider bt ring bt saggy pant stuff lot people lot
68,68,Speaker 2,M,00:26:24,read lot resident job thing nature reward work mentally income party
69,69,Speaker 5,F,00:27:10,danger switched scam back press press
70,70,Speaker 2,M,00:27:22,
71,71,Speaker 5,F,00:27:23,automatically police comic show panic moment screen time lucky engage conversation people people caught lose awful amount money people awful awful evil creature online phone people life danger technology
72,72,Speaker 2,M,00:28:07,plausible people resident scam call scam call bt payment month detail checked bank statement paid blocked number back number
73,73,Speaker 2,M,00:28:37,
74,74,Speaker 2,M,00:28:38,ended stop stop
75,75,Speaker 4,M,00:28:48,big company
76,76,Speaker 2,M,00:29:10,agreed place taichi monday afternoon start lot regular drifted big group group called barbican legend lot barbican coming taichi good
77,77,Speaker 2,M,00:29:41,great meet people moment started
78,78,Speaker 2,M,00:30:01,
79,79,Speaker 2,M,00:30:09,
