,Tweet,Anger,Disgust,Fear,Joy,Sadness,Surprise,Trust,Anticipation
0,"Get to the airport, put my case in, next stop. You know, the bark.",0.037864834,0.0027532915,0.08665697,0.48921275,0.047019467,0.12626854,0.15171115,0.058513016
1,"Gardening, yes.",0.004367788,0.0014237667,0.013677212,0.7329444,0.013359173,0.11722546,0.100546174,0.016455976
2,"She was fine. she was all right. I mean, the first plant landed upside down",0.017133528,0.0029268018,0.050773032,0.037452754,0.008990993,0.17277613,0.7074045,0.0025422615
3,"Well, sometimes you get, you know, a bit negative. Yeah, I like to say something serene. You know? Yeah, like I said, that is it. Right? Well, yeah. You know that all these, you know?",0.101102665,0.009731891,0.26467374,0.3421157,0.07895197,0.090344064,0.11144774,0.0016322336
4,"Yeah, just get him off the chair and just sit outside in the fresh air saying, try it now, but I've tried to say, man instead of me doing it today, you do it. You know? But he's afraid of falling over. The guy fell over several times and of course..",0.013787853,0.0035678179,0.719882,0.018205503,0.005577473,0.0035603195,0.16047779,0.074941225
5,Got in touch with the right people? Yes. To one another. Yeah.,0.021005789,0.0031839956,0.00428996,0.54513186,0.012655645,0.22302885,0.1845252,0.006178673
6,"He's been so independent because, I mean, he was he was in the Marines, but he's been so independent and helping other people before he needed himself and he doesn't like it.",0.013918875,0.0040426822,0.037705496,0.12206286,0.11956624,0.03286708,0.66837734,0.0014594422
7,It works both for and.,0.006996447,0.0011931007,0.017438611,0.42466673,0.0207795,0.05992651,0.46316057,0.005838549
8,We never know. Laughs.,0.0043584667,0.0041822568,0.06244476,0.3523053,0.07147934,0.26002714,0.22854364,0.016659092
9,"And this is often very, very commonly when we call our GP. It's so difficult to talk to your GP, I mean, you just end up in these terrible menus.",0.09663274,0.0047146105,0.10234083,0.056784056,0.01077666,0.044270746,0.67993873,0.0045416476
10,"The only danger I can see is crime. Crime is a lot, isn't it?",0.0062506753,0.006153674,0.26787543,0.011798704,0.18218438,0.06441542,0.44727623,0.01404549
11,They don't have taxis today from community aims to begin,0.009426682,0.0018429223,0.027222475,0.20162834,0.49316105,0.08714811,0.1674844,0.012086013
12,"No, that wasn't the taxi, that that was a human error.",0.2687992,0.13425459,0.079073764,0.012488006,0.06475323,0.2380208,0.19983907,0.0027713536
13,That's a difficult one.,0.009782857,0.000706236,0.022015283,0.0118799,0.007953483,0.013998684,0.9325379,0.0011256741
14,"Technology, stairs and trip hazards",0.008597836,0.0024626278,0.07899031,0.37638807,0.019483687,0.40506536,0.07920101,0.029811094
15,You've got some undesirable people in our block.,0.0740063,0.20973098,0.07297269,0.02433726,0.019001449,0.22340284,0.37342408,0.0031244115
16,"The deliveries, delivery services, as a negative, because they don't bring it all the way up the stairs.",0.10412192,0.012794078,0.01784762,0.29596657,0.10222777,0.24840105,0.21198858,0.006652421
